排名,企業,代號,產業類別,薪資費用總支出,員工人數,員工平均年薪
1,上緯投控,3708,化學工業,9299,18,516
2,三商,2905,貿易百貨,3749,8,468
3,華固,2548,建材營造,25980,68,382
4,永豐餘,1907,造紙工業,13517,37,365
5,崑鼎,6803,其他,2895,8,362
6,鴻準,2354,其他電子業,55675,161,345
7,精成科,6191,電子零組件業,29517,86,343
8,勤益控,1437,其他,1783,6,297
9,晶焱,6411,半導體業,17095,125,296
10,聯發科,2454,半導體業,2499098,8555,292
11,原相,3227,半導體業,1147777,394,291
12,信驊,5274,半導體業,21975,77,285
13,旭隼,6409,黑書,29698,105,282
14,瑞昱,2379,半導體業,1034986,3678,281
15,遠雄港,5607,航運業,1675,6,279
16,新潤,6186,建材營造,7752,28,276
17,聯詠,3034,半導體業,592775,22142,276
18,鴻海,2317,其他電子業,1119609,4105 ,272
19,智擎,4162,生技醫療業,7742,29,267
20,群光,2385,電子零組件業,205528,791,259